City,Latitude,Longitude,PM25_CI,PM25_diff,Temp_CI,Temp_diff
Guiyang,26.649992200000003,106.62461780000001,86.4,18.423779596376946,84.7,2.6116389802263
Gwangju,35.159577500000005,126.85150890000001,80.2,18.85385931458235,98.0,-2.4468897961511966
Győr,47.687609,17.6346815,90.5,-26.181983574658762,71.5,3.711776982565084
Hạ Long,20.9528365,107.08000030000001,99.9,-14.696817736706507,89.6,4.0287487338393895
Haarlem,52.3885317,4.6388048,61.0,4.067358481340676,54.0,1.2898795876526383
Haifa,32.8191218,34.998385600000006,98.4,14.00273411238372,74.5,3.084832949308748
Haikou,20.046232800000002,110.1956502,90.2,26.147463909838773,61.9,3.4467852642896912
Haiphong,20.858864,106.6749591,90.8,-9.678408865755,93.0,2.269948137644913
Halifax,44.648618,-63.58594870000001,24.7,0.2387345116877917,77.1,0.6746582364613509
Hamburg,53.550341,10.000653999999999,30.5,2.7970707990563426,59.4,1.5055897048816949
Hamilton,43.2560802,-79.8728583,97.5,3.8617530874761097,99.7,-1.8611133641571644
Hangzhou,30.248963399999997,120.20523419999999,91.3,23.743870478798147,70.5,3.5499169366043617
Hanoi,21.029449800000002,105.85444409999998,96.9,17.397431791213762,72.7,3.80029023905276
Hāpur,28.7406125,77.83542557,94.4,22.696716335203604,99.5,4.99284857717366
Harbin,45.7988273,126.5303997,74.2,-9.821149547523289,69.9,6.217729147888975
Hartford,41.76555820000001,-72.69061276,34.1,1.5590865104491345,75.1,0.8902250648869109
Hefei,31.822809399999997,117.2218033,69.6,22.36089419664502,69.2,3.650296890725144
Hegang,47.3355856,130.28367179999998,87.9,-2.2005861213314124,57.0,3.4614356142559712
Helsinki,60.1674098,24.9425769,97.1,4.679557954096328,64.2,-0.008338893031327288
Hiroshima,34.391605799999994,132.4518156,97.3,12.044886615979493,82.8,3.6903578294156785
Ho Chi Minh City,10.7758439,106.70175549999999,99.7,11.569803405715533,77.7,2.6273454376144123
Hobart,-42.8825088,147.3281233,58.0,0.19715990905646308,69.7,1.012546490402439
Hohhot,40.833796299999996,111.6730788,82.8,-7.692189327172628,69.4,3.944867088788112
Hong Kong,22.350627,114.18491609999998,87.5,30.34618328464269,82.2,3.0736576313934516
Honolulu,21.304547,-157.8556764,99.3,-1.8865672969966631,94.7,0.8377479617156993
Houston,29.7589382,-95.36769740000001,75.7,1.1876326361810214,97.4,-0.4442892957987503
