,date,city,env,median
291,2020-01-22,Austin,pm25,11.0
292,2020-02-18,Austin,pm25,55.0
293,2020-03-19,Austin,pm25,59.0
294,2020-04-17,Austin,pm25,38.0
295,2020-08-10,Austin,pm25,42.0
296,2020-09-16,Austin,pm25,42.0
297,2020-01-06,Austin,pm25,25.0
298,2020-05-23,Austin,pm25,53.0
299,2020-05-28,Austin,pm25,21.0
300,2020-05-31,Austin,pm25,46.0
301,2020-05-21,Austin,pm25,63.0
302,2020-08-21,Austin,pm25,34.0
303,2020-05-10,Austin,pm25,34.0
304,2020-04-06,Austin,pm25,55.0
305,2020-04-23,Austin,pm25,34.0
306,2020-07-02,Austin,pm25,97.0
307,2020-07-21,Austin,pm25,17.0
308,2020-08-28,Austin,pm25,42.0
309,2020-02-05,Austin,pm25,10.0
310,2020-06-20,Austin,pm25,21.0
311,2020-07-15,Austin,pm25,72.0
312,2020-07-23,Austin,pm25,21.0
313,2020-09-11,Austin,pm25,25.0
314,2020-05-17,Austin,pm25,17.0
315,2020-10-15,Austin,pm25,38.0
316,2020-08-17,Austin,pm25,30.0
317,2020-05-19,Austin,pm25,42.0
318,2020-10-11,Austin,pm25,46.0
319,2020-04-05,Austin,pm25,46.0
320,2020-03-08,Austin,pm25,34.0
321,2020-04-08,Austin,pm25,72.0
322,2020-05-12,Austin,pm25,25.0
323,2020-08-06,Austin,pm25,25.0
324,2019-12-30,Austin,pm25,13.0
325,2020-08-13,Austin,pm25,57.0
326,2020-09-12,Austin,pm25,34.0
327,2020-10-01,Austin,pm25,34.0
328,2020-10-18,Austin,pm25,34.0
329,2020-03-14,Austin,pm25,50.0
330,2020-04-10,Austin,pm25,46.0
331,2020-08-24,Austin,pm25,50.0
332,2020-10-22,Austin,pm25,34.0
333,2020-02-14,Austin,pm25,20.0
334,2020-03-09,Austin,pm25,30.0
335,2020-04-21,Austin,pm25,65.0
336,2020-05-26,Austin,pm25,17.0
337,2020-08-14,Austin,pm25,46.0
338,2020-01-05,Austin,pm25,15.0
339,2020-04-15,Austin,pm25,25.0
340,2020-08-19,Austin,pm25,30.0
341,2020-09-17,Austin,pm25,42.0
342,2020-03-11,Austin,pm25,50.0
343,2020-04-20,Austin,pm25,50.0
344,2020-10-25,Austin,pm25,34.0
345,2020-01-11,Austin,pm25,19.0
346,2020-07-08,Austin,pm25,74.0
347,2020-03-12,Austin,pm25,42.0
348,2020-03-29,Austin,pm25,30.0
349,2020-05-04,Austin,pm25,42.0
350,2020-08-20,Austin,pm25,30.0
351,2020-03-15,Austin,pm25,30.0
352,2020-02-10,Austin,pm25,38.0
353,2020-07-20,Austin,pm25,30.0
354,2020-07-24,Austin,pm25,25.0
355,2020-01-09,Austin,pm25,21.0
356,2020-09-10,Austin,pm25,17.0
357,2020-02-11,Austin,pm25,15.0
358,2020-05-02,Austin,pm25,21.0
359,2020-07-28,Austin,pm25,17.0
360,2020-09-19,Austin,pm25,74.0
361,2020-04-14,Austin,pm25,21.0
362,2020-05-09,Austin,pm25,25.0
363,2020-07-29,Austin,pm25,17.0
364,2020-09-13,Austin,pm25,30.0
365,2020-10-03,Austin,pm25,46.0
366,2020-04-03,Austin,pm25,30.0
367,2020-06-09,Austin,pm25,53.0
368,2020-09-07,Austin,pm25,53.0
369,2020-01-29,Austin,pm25,10.0
370,2020-01-27,Austin,pm25,32.0
371,2020-03-20,Austin,pm25,17.0
372,2020-07-16,Austin,pm25,70.0
373,2020-09-20,Austin,pm25,57.0
374,2020-01-18,Austin,pm25,17.0
375,2020-06-21,Austin,pm25,21.0
376,2020-06-26,Austin,pm25,80.0
377,2020-10-07,Austin,pm25,55.0
378,2020-10-09,Austin,pm25,46.0
379,2020-04-12,Austin,pm25,34.0
380,2020-07-13,Austin,pm25,46.0
381,2020-07-22,Austin,pm25,17.0
382,2020-10-17,Austin,pm25,46.0
383,2020-02-01,Austin,pm25,15.0
384,2020-04-02,Austin,pm25,34.0
385,2020-06-12,Austin,pm25,34.0
386,2020-06-27,Austin,pm25,151.0
387,2020-08-31,Austin,pm25,59.0
388,2020-02-22,Austin,pm25,46.0
389,2020-05-29,Austin,pm25,21.0
390,2020-06-15,Austin,pm25,50.0
391,2020-06-22,Austin,pm25,34.0
392,2020-10-13,Austin,pm25,34.0
393,2020-10-19,Austin,pm25,34.0
394,2020-10-20,Austin,pm25,34.0
