,city,mean,S_diff,num_bootstraps,CI
153,Port Elizabeth,13.939950067467448,52.50157827565155,997,99.7
154,Singapore,27.821935891324106,3.9231158348510533,704,70.4
155,Zaporizhia,12.734518360969973,49.66896096734806,736,73.6
156,Rijeka,14.283373848605358,37.87675707966793,680,68.0
157,Boston,11.677388789062872,47.50174557675671,712,71.2
158,Nashville,18.289040759121402,49.72531683668782,932,93.2
159,Halifax,7.409735136788807,49.396039932444275,771,77.1
160,Willemstad,27.385668543108178,6.879807377729936,986,98.6
161,Istanbul,16.319881860661894,42.68202038352205,750,75.0
162,Ipoh,29.806924184686284,19.37421009098428,999,99.9
163,Bloemfontein,13.118302727491269,51.89836060620877,988,98.8
164,Fort Worth,18.636356019474903,69.13862684287658,885,88.5
165,Hannover,12.407828086805011,29.406418479473647,532,53.2
166,Wakayama,17.871047277211417,50.595062642523715,860,86.0
167,Huelva,18.519142306561825,29.745478831731205,647,64.7
168,Victoria,10.593907430892553,25.06629148467095,596,59.6
169,Göteborg,9.327863641734607,30.273647642679883,568,56.8
170,Jerusalem,17.10132578946591,36.317135619756584,714,71.4
171,Rancagua,16.60497508763638,38.30382026359501,861,86.1
172,Southend-on-Sea,12.521614232541651,24.502143891055187,610,61.0
173,Launceston,11.758197363676368,22.646716714644278,754,75.4
174,Novi Sad,15.31896711428051,40.33215671763548,866,86.6
175,Kolkata,25.678472359737658,24.518151643190613,500,50.0
