,city,mean,S_diff,num_bootstraps,CI
168,Almaty,54.42277516473722,86.27685669202313,87,87.0
169,Trieste,45.62450925054349,70.37609551298712,67,67.0
170,Baltimore,30.59460012549557,34.66046176663535,67,67.0
171,Karaj,52.811021505376345,362.14381720430106,99,99.0
172,Daegu,67.34101984330711,81.41848591094984,59,59.0
173,Qom,43.459395395875475,228.89433919969974,99,99.0
174,Tainan,66.50819990940958,139.99685346015997,90,90.0
175,Morelia,52.60932616080004,86.20252434192915,91,91.0
176,Sarajevo,80.1606007037918,275.25501657605514,81,81.0
177,Dijon,22.814561251628405,61.29645588497996,99,99.0
178,Calgary,21.28415991143327,47.25531672859955,95,95.0
179,Salem,24.524140231446967,126.15786421895999,99,99.0
180,Adapazarı,67.61158025189356,120.81073619386554,49,49.0
181,Dongguan,81.73731993118118,205.61156428388068,96,96.0
182,Detroit,34.326566053660976,31.328026128007604,81,81.0
183,Trondheim,17.609283887537504,25.970852161063494,55,55.0
184,Skopje,81.46303108120405,130.82732557270933,90,90.0
185,Olomouc,45.143094642195045,66.99942806822403,19,19.0
186,Lhasa,37.147820652033666,52.633280228608356,87,87.0
187,Liverpool,27.472041996835753,53.59519948150832,67,67.0
188,Melbourne,28.109388492640715,50.33708451664515,83,83.0
189,Tehran,58.43224130800604,400.6923558227091,99,99.0
190,Lisbon,36.98009000073795,68.88987358992915,63,63.0
191,Manila,37.7412474899961,114.7587525100039,0,0.0
192,Dallas,32.42178059820232,28.283320600422975,47,47.0
193,Dhaka,133.86239371839693,288.5265027253524,61,61.0
194,Montpellier,33.15771261480213,46.60210695432147,44,44.0
195,Saint-Denis,29.457112578281933,70.26156283232898,99,99.0
196,Samut Prakan,79.7556376658504,159.91921264605497,93,93.0
197,Nanjing,94.61627585969215,147.09080834117674,76,76.0
198,Warsaw,52.64090952537143,76.72461074644056,53,53.0
199,Orléans,32.007036910839744,71.87406117705055,90,90.0
200,Puebla,71.64935264428352,31.932894448101848,91,91.0
201,Orūmīyeh,56.53769243898275,24.549885646014637,70,70.0
202,Lyon,37.39775338831234,89.3015185608484,70,70.0
203,Birmingham,30.54447114222046,76.13952124434059,92,92.0
204,Matsuyama,44.946597163650836,66.61944155831807,95,95.0
205,Yunfu,74.19909161719507,171.8484610495178,94,94.0
206,Manama,119.3563448856483,118.20407962449103,95,95.0
207,Nijmegen,36.43046100096294,66.97989367340726,88,88.0
208,Temuco,70.4888053609967,218.30973840150708,87,87.0
209,Middelburg,62.9632876870757,203.25215321437508,95,95.0
210,Oaxaca,53.670123923817876,206.2230993906565,97,97.0
211,Bologna,47.85573611331815,112.06949630983283,46,46.0
212,Beijing,102.41091684085289,122.24341413128963,74,74.0
213,Eindhoven,39.49553310828339,78.91184984061798,92,92.0
214,Concepción,58.43413537935925,73.01071589006087,51,51.0
215,Oviedo,44.01938377637071,103.21735308937758,98,98.0
216,Odessa,33.20332272073856,87.69339700890194,92,92.0
217,São José dos Campos,42.455607317194264,71.03743591856309,88,88.0
218,Kitchener,26.188915339388092,27.380283342908598,80,80.0
219,Changwon,59.48545208113479,74.58107958272723,84,84.0
220,Nanchang,89.96866835657853,161.4161709235333,90,90.0
221,Baghdad,92.5932183628537,136.638749663925,97,97.0
222,Groningen,28.439416336969174,74.48568549235958,90,90.0
223,Milwaukee,31.188767009470567,41.60898726165687,82,82.0
224,Bandar Abbas,72.60132575757575,145.20265151515156,81,81.0
225,Dushanbe,104.86751613853949,140.9390875901998,76,76.0
226,Ürümqi,100.05126941174633,346.96197304425897,77,77.0
227,Marseille,39.42897683594986,64.12205566726561,52,52.0
228,Brooklyn,27.087999928016615,45.20099567963864,49,49.0
229,East London,31.399916589436867,66.50559272658538,58,58.0
230,Jeonju,74.93846279477536,138.56047324323185,75,75.0
231,Quilpué,53.47579504292519,51.65815721171678,97,97.0
232,Kecskemét,35.839883348046996,57.22333130750223,78,78.0
233,Suzhou,90.37039786779775,157.32466196669466,92,92.0
234,Reykjavík,16.530091735635903,29.136574931030758,13,13.0
235,Gent,43.726269620965525,86.39309735445472,92,92.0
236,Peshawar,128.9678657973371,158.7925599564846,81,81.0
237,New Delhi,155.3281357677979,427.0972997741353,70,70.0
238,Sacramento,29.161515109380797,114.76384176863188,88,88.0
239,Philadelphia,32.96179285659959,39.81951713238562,76,76.0
240,Namur,30.785960630801984,106.3048755498986,95,95.0
241,Palma,25.26853097413442,12.246217176820608,12,12.0
242,Gifu-shi,36.309500402190196,48.43162037065333,82,82.0
243,Muzaffarnagar,149.40781062706273,350.72830547830256,86,86.0
244,Cuernavaca,63.09567905213066,169.74197522907198,78,78.0
245,Ashdod,56.64016388613859,50.32583463378801,87,87.0
246,Sofia,73.97380585673133,43.13315772103317,68,68.0
247,Zamboanga,60.995535714285715,0.4330357142857153,0,0.0
248,Yeosu,53.0713039247244,78.57829222131221,97,97.0
249,Chengdu,102.6413645656346,176.08260406862337,52,52.0
250,Abidjan,65.79429024434768,16.615098203635583,77,77.0
251,Sanandaj,25.687700840439998,179.88977876653072,99,99.0
252,Seongnam-si,66.90624172360825,137.9536813390541,81,81.0
253,Kabul,98.6455816882631,131.3395019253686,92,92.0
254,Oulu,19.320659520617806,29.029732517204728,94,94.0
255,Nagoya,38.71263229918333,65.8252941302301,97,97.0
256,Suwon,75.4282387855316,136.70246885190568,75,75.0
257,Miami,25.10758691314865,43.113897275632496,96,96.0
258,Manchester,32.29470160679143,74.66390655367991,94,94.0
259,Los Angeles,47.8325972607605,57.35232394289686,57,57.0
260,Columbus,31.45092567409725,56.188661496086475,99,99.0
261,Athens,48.00853340208178,8.593754632464325,44,44.0
262,Atlanta,37.472125265353846,54.41315594861207,98,98.0
263,Glasgow,22.288334769605626,53.66074005712492,98,98.0
264,Tarnów,57.951604185426476,92.59074147642006,54,54.0
265,Norwich,32.98423314264526,74.05385083955721,91,91.0
266,Zanjān,39.1636996091934,266.5792305976871,99,99.0
267,Győr,44.59117792365553,93.89920609544171,90,90.0
268,Saitama,40.121816819088096,68.69915743785319,98,98.0
269,Algiers,71.20099984751374,85.74068971937729,99,99.0
270,Utrecht,36.07975440932198,68.52400810627998,81,81.0
271,Islamabad,98.2993748039132,147.78165254841554,92,92.0
272,Charlotte,33.765474076813064,60.37620738549549,99,99.0
273,Caen,29.458084984657,46.033062209225236,98,98.0
274,Fuzhou,67.41630807395546,65.60001259709261,79,79.0
275,Portland,23.03030398720054,94.0935896756809,99,99.0
276,Kaohsiung,68.8177559416853,136.96404852563086,72,72.0
277,Salamanca,22.34918729827049,36.69690815127149,91,91.0
278,Cheongju-si,77.91775669717133,146.97599249641104,71,71.0
279,Daejeon,66.30210381634187,121.68743726919499,72,72.0
280,Bamako,117.97701145309601,221.27901396588837,98,98.0
281,Rome,48.81643277583559,97.0742392340696,89,89.0
282,Adelaide,13.692058316842797,94.98234439647817,99,99.0
283,Florence,48.986060098441904,113.27088374408315,46,46.0
284,Mokpo,64.15504567889163,88.15579158975981,70,70.0
285,Parma,61.72960167381746,150.53738545473794,54,54.0
286,Helsinki,22.026963499669282,37.59381581216955,99,99.0
287,Guatemala City,61.5984926291934,80.45941868249987,85,85.0
288,Kayseri,60.75132863276226,91.77492273370378,84,84.0
289,Omaha,29.956876968507945,40.709216819054106,98,98.0
290,Oklahoma City,36.25952401325037,51.61425434039442,94,94.0
291,Bishkek,64.02806913506302,250.60657492972564,99,99.0
292,Fresno,44.91266590303158,185.74032639882046,97,97.0
293,Pilsen,41.39424598760527,66.14054028285398,21,21.0
294,Nur-Sultan,52.62939807552342,183.38065350653451,97,97.0
295,Taipei,46.35082423524441,54.912390174403654,40,40.0
296,Chicago,34.072344398741784,47.85037136806463,97,97.0
297,Staten Island,29.437997525740858,44.72989076181523,58,58.0
298,Shijiazhuang,126.34406386624129,206.39407568238215,56,56.0
299,Qiqihar,71.75217265045548,210.0104140691531,83,83.0
300,Akita,42.284925736573406,66.71583739767827,98,98.0
301,Naha,30.28520490987816,35.68585892308773,23,23.0
302,Shanghai,86.87589372298076,107.66360847624749,84,84.0
303,Belfast,34.76734210475113,115.09277386408723,99,99.0
304,Durban,64.12073692450134,152.09820072985582,97,97.0
305,Fukuoka,45.614502373244726,41.176406299021714,63,63.0
306,Guangzhou,79.27039937028118,167.41846399336666,92,92.0
307,Wollongong,30.460780564757204,110.07692440114575,82,82.0
308,Szeged,49.847682484233474,115.95776877276836,84,84.0
309,Vientiane,75.61910049368602,214.474133753905,63,63.0
310,Chihuahua,42.15241545893719,1.0214975845410663,24,24.0
311,Tallahassee,36.029179348645414,24.4700851984501,34,34.0
312,Kumamoto,47.95623593013401,39.32276769161505,53,53.0
313,San Juan,43.250448420307286,83.35348108432788,89,89.0
314,Nanning,81.25686255485337,150.52564894551136,98,98.0
315,Hefei,99.28043899000517,153.63089594869334,60,60.0
316,The Hague,35.41124554517909,74.24735007762,89,89.0
317,Mississauga,26.325465829282567,33.20147226398612,94,94.0
318,London,31.082352198922695,35.76921389812448,93,93.0
319,Hsinchu,51.33844731155633,91.54315930330932,81,81.0
320,Netanya,61.43196957072096,35.176734714735275,75,75.0
321,Visakhapatnam,96.35339048372835,193.58592524457356,86,86.0
322,Valladolid,43.354194591416814,38.03013123210256,98,98.0
323,Vantaa,22.227121116122785,29.12235518776117,80,80.0
324,Tel Aviv,66.21886626844913,51.97072883858205,96,96.0
325,Miskolc,59.05483708835349,154.57095152869618,73,73.0
326,Dnipro,40.610322112074066,95.94795417782075,93,93.0
327,Douliu,63.679658072121924,151.73643198045306,93,93.0
328,Tianjin,115.69379230721695,117.52774432417787,50,50.0
329,Tbilisi,64.74158644933117,46.636138087903944,57,57.0
330,Kampala,128.8002617961832,75.63726803278149,9,9.0
331,Shantou,67.89074319111862,104.76397941139325,87,87.0
332,Thrissur,40.929391503667546,52.85009471212759,96,96.0
333,Nancy,34.23800390068465,62.42016023773529,92,92.0
334,Haifa,57.17392331358545,47.74256516024458,96,96.0
335,Chandigarh,109.11701159272071,172.95153192191566,64,64.0
336,Shenzhen,71.54713849060347,195.9548034649813,89,89.0
337,Toulouse,37.349247213360115,49.387095789515136,55,55.0
338,Thiruvananthapuram,75.33689836864343,188.82103811069976,92,92.0
339,Hangzhou,91.35015381355758,135.70414624307818,92,92.0
340,Copenhagen,34.55117181040816,30.775093328911588,83,83.0
341,Tucson,21.466168758938505,46.75882197150277,98,98.0
342,Ōita,40.59013829723299,39.51263216760987,59,59.0
343,Balıkesir,45.17584919097712,96.64412050685692,97,97.0
344,Kanazawa,31.608637348546278,52.51028836137287,87,87.0
345,Fushun,104.35933942000405,184.38257309369652,44,44.0
346,Dordrecht,31.376008480457866,79.44358010053226,88,88.0
347,Stuttgart,38.115669858043326,69.91059576778432,43,43.0
348,Jeju City,59.89185534576248,74.42063724651297,97,97.0
349,Lahore,154.7175068009942,318.3178482131534,96,96.0
350,Changsha,104.71817823290296,173.61204706491154,77,77.0
351,Ecatepec de Morelos,47.762465153325365,29.149860613301463,46,46.0
352,Hamilton,28.661092869094812,36.18969605354472,94,94.0
353,Vienna,37.54132177286933,60.10713994385293,23,23.0
354,Prato,58.257219852666175,161.99435029421824,24,24.0
355,Surrey,20.406677723926062,45.09717112929726,59,59.0
356,Krasnoyarsk,25.355484856263498,42.39804029859647,68,68.0
